pid,gender,rank,rank_s,rank_cj,name,born,nation,category,bweight,snatch1,snatch2,snatch3,snatch,jerk1,jerk2,jerk3,jerk,total,event,date
0,M,1,3,1,RUSEV Angel Hriskov,13.07.2001,BUL,55,54.88,*105,105,111,111,140,*147,147,147,258,EUROPEAN CHAMPIONSHIPS,4.2021
1,M,2,5,2,IANCU Valentin-lonadi,16.01.2000,ROU,55,54.98,100,105,108,108,130,135,140,140,248,EUROPEAN CHAMPIONSHIPS,4.2021
2,M,3,4,3,VORONOVSKYI Dmytro,04.01.1997,UKR,55,54.96,106,110,*112,110,133,137,*140,137,247,EUROPEAN CHAMPIONSHIPS,4.2021
3,M,4,2,5,SAHIN Muammer,05.02.1994,TUR,55,54.88,*109,109,112,112,*130,*130,130,130,242,EUROPEAN CHAMPIONSHIPS,4.2021
4,M,5,1,8,LUNGU Daniel,16.10.1998,MDA,55,54.94,108,*111,113,113,*127,127,*131,127,240,EUROPEAN CHAMPIONSHIPS,4.2021
5,M,6,6,4,LUCA Marian-Cristian,16.02.1999,ROU,55,54.74,103,107,*111,107,130,*134,*136,130,237,EUROPEAN CHAMPIONSHIPS,4.2021
6,M,7,7,9,DOKVADZE Giorgi,22.12.1997,GEO,55,54.96,105,*108,*109,105,124,*129,*129,124,229,EUROPEAN CHAMPIONSHIPS,4.2021
7,M,8,8,7,MUHAMMET Akkaya,10.05.1999,TUR,55,55,98,*104,*107,98,120,127,*130,127,225,EUROPEAN CHAMPIONSHIPS,4.2021
8,M,9,9,6,POLAK Frantisek,01.01.2001,CZE,55,54.94,93,*97,97,97,119,124,127,127,224,EUROPEAN CHAMPIONSHIPS,4.2021
9,M,1,1,2,GROZDEV Stilyan Rosenov,27.07.1999,BUL,61,60.82,130,134,136,136,*156,157,160,160,296,EUROPEAN CHAMPIONSHIPS,4.2021
10,M,2,2,5,MISHVELDZE shota,18.10.1994,GEO,61,61,*129,131,135,135,155,*159,*162,155,290,EUROPEAN CHAMPIONSHIPS,4.2021
11,M,3,4,4,HARDAL Ferdi,31.12.1996,TUR,61,60.92,130,*135,*135,130,157,*161,*161,157,287,EUROPEAN CHAMPIONSHIPS,4.2021
12,M,4,3,8,LAPTSEU Henadz,15.12.1998,BLR,61,60.92,128,*132,132,132,148,154,*159,154,286,EUROPEAN CHAMPIONSHIPS,4.2021
13,M,5,7,3,RUIU Davide,22.01.2001,ITA,61,60.8,*125,125,*130,125,150,*158,158,158,283,EUROPEAN CHAMPIONSHIPS,4.2021
14,M,6,11,1,MAU Jon Luke,02.10.1998,GER,61,60.86,120,*124,*124,120,155,160,162,162,282,EUROPEAN CHAMPIONSHIPS,4.2021
15,M,7,6,6,MASSIDDA Sergio,26.01.2002,ITA,61,60.86,125,*130,*130,125,145,155,*160,155,280,EUROPEAN CHAMPIONSHIPS,4.2021
16,M,8,8,7,SHAMILISHVILI Ramini,11.05.1994,GEO,61,60.92,124,*128,*128,124,147,155,*159,155,279,EUROPEAN CHAMPIONSHIPS,4.2021
17,M,9,9,9,TOPTAS Caner,14.08.2001,TUR,61,60.96,*124,124,*128,124,142,145,150,150,274,EUROPEAN CHAMPIONSHIPS,4.2021
18,M,10,5,10,BRANDHUBER Simon Josef,27.06.1991,GER,61,60.8,120,124,127,127,*145,*145,145,145,272,EUROPEAN CHAMPIONSHIPS,4.2021
19,M,11,10,11,BRACHI GARCIA Josue,08.09.1992,ESP,61,59.72,115,118,121,121,*138,138,141,141,262,EUROPEAN CHAMPIONSHIPS,4.2021
20,M,12,12,12,ZALIPSKTI Pavlo,13.07.1998,UKR,61,60.02,117,*121,*123,117,135,140,*146,140,257,EUROPEAN CHAMPIONSHIPS,4.2021
21,M,13,14,13,VLADISAVLJEV Stevan,04.07.1999,SRB,61,60.54,110,*113,*113,110,135,*140,*140,135,245,EUROPEAN CHAMPIONSHIPS,4.2021
22,M,___,13,___,LEWI Bar,20.04.1993,ISR,61,60.86,110,*113,___,110,___,___,___,___,___,EUROPEAN CHAMPIONSHIPS,4.2021
23,M,1,3,1,OZBEK Muhammed Furkan,24.01.2001,TUR,67,66.96,139,142,145,145,170,174,178,178,323,EUROPEAN CHAMPIONSHIPS,4.2021
24,M,2,1,4,ZANNI Mirko,16.10.1997,ITA,67,66.74,142,146,148,148,*170,170,*174,170,318,EUROPEAN CHAMPIONSHIPS,4.2021
25,M,3,7,2,GENCHEV Valentin,03.04.2000,BUL,67,66.72,132,136,138,138,168,173,177,177,315,EUROPEAN CHAMPIONSHIPS,4.2021
26,M,4,2,6,GARAEV Zulfat,12.01.2000,RUS,67,66.66,140,144,147,147,167,*172,*172,167,314,EUROPEAN CHAMPIONSHIPS,4.2021
27,M,5,4,3,CHKEIDZE Goga,11.02.1996,GEO,67,66.82,134,138,140,140,165,170,*175,170,310,EUROPEAN CHAMPIONSHIPS,4.2021
28,M,6,8,5,KINGUE MATAM Bernadin Ledoux,20.05.1990,FRA,67,66.6,133,136,138,138,*170,170,*174,170,308,EUROPEAN CHAMPIONSHIPS,4.2021
29,M,7,6,9,ANGELOV Petar Sevdalin,15.12.1997,BUL,67,66.9,130,135,138,138,157,162,*169,162,300,EUROPEAN CHAMPIONSHIPS,4.2021
30,M,8,5,10,HERNANDEZ MENDOZA Acoran Juan,30.12.1990,ESP,67,66.9,130,134,139,139,155,160,*164,160,299,EUROPEAN CHAMPIONSHIPS,4.2021
31,M,9,11,7,GENC Yusuf Fehmi,23.05.2002,TUR,67,66.76,125,130,*132,130,*166,167,*173,167,297,EUROPEAN CHAMPIONSHIPS,4.2021
32,M,10,10,11,IVANOU Dzmitry,04.11.2000,BLR,67,66.88,130,*135,*135,130,155,*160,*160,155,285,EUROPEAN CHAMPIONSHIPS,4.2021
33,M,11,9,12,CASTRO MARINO Victor,18.12.1992,ESP,67,66.84,128,132,*136,132,148,*153,*153,148,280,EUROPEAN CHAMPIONSHIPS,4.2021
34,M,12,12,13,URBAN Kacper Kamil,08.11.2001,POL,67,66.42,120,125,*129,125,140,146,*150,146,271,EUROPEAN CHAMPIONSHIPS,4.2021
35,M,___,___,8,PETROV Petr,19.10.1989,CZE,67,66.94,*132,*132,*132,___,160,*165,165,165,___,EUROPEAN CHAMPIONSHIPS,4.2021
36,M,1,1,6,ISMAYILOV Daniyar,03.02.1992,TUR,73,72.72,155,158,160,160,181,*185,*185,181,341,EUROPEAN CHAMPIONSHIPS,4.2021
37,M,2,2,4,ROBU Marin,19.03.2000,MDA,73,72.85,151,156,*159,156,177,*183,183,183,339,EUROPEAN CHAMPIONSHIPS,4.2021
38,M,3,4,2,CALIJA Briken,19.02.1990,ALB,73,72.94,152,*157,*157,152,*183,184,*188,184,336,EUROPEAN CHAMPIONSHIPS,4.2021
39,M,4,3,5,ANDREEV Bozhidar Dimitorov,17.01.1997,BUL,73,72.84,152,*156,*157,152,182,*188,*190,182,334,EUROPEAN CHAMPIONSHIPS,4.2021
40,M,5,7,3,SANCHEZ LOPEZ David,20.07.1994,ESP,73,72.84,143,147,149,149,*179,179,183,183,332,EUROPEAN CHAMPIONSHIPS,4.2021
41,M,6,9,1,LANG Max Richard,06.12.1992,GER,73,72.62,*145,*145,145,145,175,180,185,185,330,EUROPEAN CHAMPIONSHIPS,4.2021
42,M,7,8,7,ASANIDZE Kakhi,01.10.2000,GEO,73,72.84,144,148,*151,148,172,179,*182,179,327,EUROPEAN CHAMPIONSHIPS,4.2021
43,M,8,5,8,ZHARNOUSKI Ilya,21.08.2000,BLR,73,72.74,141,146,150,150,167,173,176,176,326,EUROPEAN CHAMPIONSHIPS,4.2021
44,M,9,6,10,PETROV Sergei,17.02.1994,RUS,73,72.94,144,149,*153,149,171,174,*178,174,323,EUROPEAN CHAMPIONSHIPS,4.2021
